City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Latitude,Longitude,Max Temperature
tasiilaq,gl,12,1531691400,40,,,,6.2,65.61,-37.64,11.0
namatanai,pg,76,1531693704,100,,,,3.81,-3.66,152.44,26.89
kapit,my,92,1531693704,97,,,,1.16,2.02,112.94,22.14
kalmunai,lk,48,1531693704,95,,,,2.96,7.42,81.82,23.99
borogontsy,ru,68,1531693704,94,,,,2.36,62.67,131.17,17.64
paamiut,gl,36,1531693704,80,,,,5.26,61.99,-49.67,8.84
halifax,ca,75,1531692000,77,,,,2.6,44.65,-63.58,21.0
hobyo,so,12,1531693705,74,,,,10.06,5.35,48.53,24.84
samarai,pg,92,1531693705,100,,,,4.41,-10.62,150.67,24.94
winchester,us,1,1531691580,31,,,,1.01,43.28,-123.35,32.0
esperance,au,92,1531693705,68,,,,8.86,-33.86,121.89,14.84
yerbogachen,ru,24,1531693705,92,,,,1.21,61.28,108.01,11.24
vila velha,br,0,1531692000,78,,,,3.6,-3.71,-38.6,26.0
marrakesh,ma,0,1531692000,53,,,,5.1,31.63,-7.99,23.0
sorland,no,75,1531691400,87,,,,2.6,67.67,12.69,12.0
eskisehir,tr,0,1531691400,82,,,,3.6,39.78,30.52,17.0
barranca,pe,36,1531693706,100,,,,4.76,-10.75,-77.76,16.99
napier,nz,0,1531693696,89,,,,7.81,-39.49,176.92,13.34
gedo,et,64,1531693706,95,,,,1.11,9.01,37.45,12.49
longyearbyen,sj,75,1531691400,87,,,,1.5,78.22,15.64,7.0
saint augustine,us,1,1531692900,62,,,,2.1,40.72,-90.41,31.0
hede,cn,0,1531693707,81,,,,4.36,33.77,120.25,24.89
ostrozac,ba,20,1531693707,90,,,,1.01,44.91,15.94,18.19
kapoeta,sd,,,,,,,,,,
salalah,om,90,1531691400,100,,,,3.6,17.01,54.1,25.0
carnarvon,za,0,1531693707,64,,,,3.76,-30.97,22.13,-0.66
broome,au,0,1531692000,81,,,,2.1,-17.97,122.23,11.0
benguela,ao,0,1531693708,100,,,,3.16,-12.58,13.4,20.64
dahuk,iq,,,,,,,,,,
tarudant,ma,,,,,,,,,,
deputatskiy,ru,88,1531693708,72,,,,1.76,69.3,139.9,9.74
huntingdon,ca,20,1531692000,31,,,,3.6,49.01,-122.26,31.0
dzhusaly,kz,,,,,,,,,,
potenza,it,0,1531691700,94,,,,4.6,40.64,15.8,20.0
ballina,au,0,1531693708,100,,,,5.41,-28.87,153.57,13.24
duluth,us,90,1531693140,73,,,,4.1,46.77,-92.13,26.0
telfs,at,20,1531691400,93,,,,1,47.3,11.07,16.0
zabid,ye,100,1531693709,25,,,,2.51,14.2,44.5,22.49
baghdad,iq,0,1531692000,29,,,,1.5,33.3,44.38,32.0
shingu,jp,0,1531693709,96,,,,2.86,33.72,135.99,26.14
kyshtovka,ru,0,1531693710,52,,,,4.46,56.56,76.62,17.14
maldonado,uy,90,1531692000,76,,,,5.7,-34.91,-54.96,11.0
sao joao da barra,br,0,1531692000,88,,,,4.1,-21.64,-41.05,22.0
haines junction,ca,92,1531693710,77,,,,1.26,60.75,-137.51,7.49
clyde river,ca,90,1531692000,100,,,,3.1,70.47,-68.59,1.0
hami,cn,100,1531693710,42,,,,0.96,42.84,93.51,25.04
vilyuysk,ru,76,1531693711,57,,,,2.51,63.75,121.63,13.94
tigil,ru,0,1531693711,57,,,,1.71,57.8,158.67,18.09
muisne,ec,88,1531693711,75,,,,4.11,0.61,-80.02,25.89
snasa,no,0,1531693711,80,,,,1.11,64.25,12.38,14.39
waw,sd,,,,,,,,,,
palabuhanratu,id,,,,,,,,,,
yeniseysk,ru,0,1531693711,72,,,,2.11,58.45,92.17,10.19
kamenka,ru,24,1531693712,47,,,,3.71,53.19,44.05,25.04
grand river south east,mu,,,,,,,,,,
makasar,id,20,1531692000,65,,,,3.1,-6.28,106.88,25.0
miandrivazo,mg,0,1531693712,68,,,,1.66,-19.53,45.46,15.19
weinan,cn,0,1531688400,83,,,,1,34.5,109.46,26.0
ipixuna,br,40,1531692000,83,,,,2.6,-1.76,-48.8,26.0
bertinoro,it,0,1531691700,83,,,,0.5,44.15,12.13,23.0
tessalit,ml,80,1531693713,14,,,,3.41,20.2,1.01,32.59
tumannyy,ru,,,,,,,,,,
shelburne,us,20,1531691700,35,,,,3.6,44.38,-73.23,31.0
honiara,sb,20,1531692000,78,,,,1.61,-9.43,159.96,28.0
qaqortoq,gl,48,1531691400,44,,,,3.1,60.72,-46.03,15.0
westport,nz,92,1531693713,100,,,,0.96,-41.75,171.6,8.59
morristown,us,40,1531692900,88,,,,1.5,36.21,-83.29,27.0
ruidoso,us,90,1531691700,77,,,,2.1,33.33,-105.67,30.0
shizunai,jp,76,1531693714,100,,,,0.86,42.33,142.37,18.29
nueva londres,py,64,1531693714,40,,,,3.86,-25.4,-56.55,28.99
riverside,us,1,1531691880,26,,,,5.1,33.95,-117.4,38.0
cacu,br,8,1531693715,38,,,,2.06,-18.56,-51.13,26.89
san quintin,mx,,,,,,,,,,
payo,ph,,,,,,,,,,
vao,nc,8,1531693715,100,,,,4.66,-22.67,167.48,21.49
ratnagiri,in,92,1531693715,100,,,,9.51,16.98,73.3,25.14
varnavino,ru,0,1531693715,97,,,,1.26,61.19,46.56,16.64
wulanhaote,cn,,,,,,,,,,
sainte-maxime,fr,0,1531692000,73,,,,1.5,43.31,6.64,26.0
tuggurt,dz,,,,,,,,,,
tuy hoa,vn,88,1531693716,91,,,,7.76,13.08,109.3,26.64
odesskoye,ru,0,1531693716,67,,,,4.56,54.21,72.97,16.64
satipo,pe,12,1531693717,50,,,,0.46,-11.26,-74.64,25.54
dukat,ru,8,1531693717,67,,,,1.61,62.55,155.55,16.34
mogadishu,so,80,1531693471,98,,,,9.71,2.04,45.34,25.44
vestmanna,fo,40,1531691400,93,,,,5.1,62.16,-7.17,11.0
bossangoa,cf,44,1531693717,93,,,,2.66,6.5,17.45,21.29
dikson,ru,0,1531693717,100,,,,4.71,73.51,80.55,4.59
vestmannaeyjar,is,0,1531693717,88,,,,3.46,63.44,-20.27,11.74
marsa matruh,eg,0,1531688400,83,,,,4.1,31.35,27.25,26.0
akdepe,tm,0,1531690200,34,,,,2.1,42.05,59.39,27.0
ostersund,se,20,1531691400,52,,,,1.5,63.18,14.64,19.0
zacualpan,mx,75,1531691100,55,,,,1.31,21.25,-105.17,31.0
raduzhnyy,ru,68,1531693718,68,,,,1.51,62.1,77.47,15.39
el alto,pe,,,,,,,,,,
